<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2022.02.16	20:00:00	1.26844	1.27002	1.26729	1.26871	20178	0	0
2022.02.17	00:00:00	1.26871	1.26995	1.26790	1.26952	6220	0	0
2022.02.17	04:00:00	1.26951	1.27344	1.26888	1.27034	17535	0	0
2022.02.17	08:00:00	1.27034	1.27249	1.26943	1.27077	25432	0	0
2022.02.17	12:00:00	1.27077	1.27149	1.26929	1.27087	18674	0	0
2022.02.17	16:00:00	1.27088	1.27114	1.26743	1.26869	23945	0	0
2022.02.17	20:00:00	1.26867	1.27105	1.26819	1.27068	8488	0	0
2022.02.18	00:00:00	1.27036	1.27174	1.26941	1.26981	9347	0	0
2022.02.18	04:00:00	1.26980	1.27045	1.26878	1.26936	7564	0	0
2022.02.18	08:00:00	1.26936	1.26988	1.26731	1.26809	14365	0	0
2022.02.18	12:00:00	1.26808	1.27101	1.26798	1.27095	15384	0	0
2022.02.18	16:00:00	1.27095	1.27554	1.26947	1.27554	25709	0	0
2022.02.18	20:00:00	1.27556	1.27607	1.27369	1.27540	11263	0	0
2022.02.21	00:00:00	1.27418	1.27606	1.27314	1.27371	10243	0	0
2022.02.21	04:00:00	1.27369	1.27395	1.27215	1.27239	6616	0	0
2022.02.21	08:00:00	1.27239	1.27401	1.27218	1.27371	14382	0	0
2022.02.21	12:00:00	1.27370	1.27567	1.27340	1.27405	15236	0	0
2022.02.21	16:00:00	1.27403	1.27524	1.27333	1.27496	17101	0	0
2022.02.21	20:00:00	1.27496	1.27589	1.27441	1.27509	3851	0	0
2022.02.22	00:00:00	1.27509	1.27653	1.27428	1.27592	10075	0	0
2022.02.22	04:00:00	1.27592	1.27690	1.27406	1.27417	9128	0	0
2022.02.22	08:00:00	1.27417	1.27666	1.27303	1.27428	23239	0	0
2022.02.22	12:00:00	1.27428	1.27428	1.27229	1.27260	20491	0	0
2022.02.22	16:00:00	1.27260	1.27507	1.27187	1.27494	21563	0	0
2022.02.22	20:00:00	1.27494	1.27825	1.27461	1.27683	19457	0	0
2022.02.23	00:00:00	1.27670	1.27693	1.27489	1.27503	6061	0	0
2022.02.23	04:00:00	1.27502	1.27604	1.27432	1.27461	5225	0	0
2022.02.23	08:00:00	1.27459	1.27553	1.27054	1.27109	13067	0	0
2022.02.23	12:00:00	1.27108	1.27172	1.26816	1.26831	13588	0	0
2022.02.23	16:00:00	1.26831	1.27378	1.26814	1.27171	23440	0	0
2022.02.23	20:00:00	1.27172	1.27479	1.27172	1.27327	10814	0	0
2022.02.24	00:00:00	1.27296	1.27565	1.27259	1.27406	11256	0	0
2022.02.24	04:00:00	1.27406	1.27926	1.27388	1.27773	36719	0	0
2022.02.24	08:00:00	1.27772	1.28215	1.27740	1.28214	39961	0	0
2022.02.24	12:00:00	1.28213	1.28476	1.28051	1.28218	35575	0	0
2022.02.24	16:00:00	1.28220	1.28774	1.28171	1.28391	44112	0	0
2022.02.24	20:00:00	1.28391	1.28498	1.27913	1.28141	30178	0	0
2022.02.25	00:00:00	1.28120	1.28155	1.27910	1.27934	14372	0	0
2022.02.25	04:00:00	1.27932	1.28017	1.27712	1.27786	12190	0	0
2022.02.25	08:00:00	1.27782	1.28205	1.27782	1.28084	23349	0	0
2022.02.25	12:00:00	1.28084	1.28181	1.27534	1.27573	24627	0	0
2022.02.25	16:00:00	1.27573	1.27956	1.27344	1.27527	27504	0	0
2022.02.25	20:00:00	1.27527	1.27531	1.26946	1.26989	12300	0	0
2022.02.28	00:00:00	1.27488	1.27809	1.27334	1.27803	18422	0	0
2022.02.28	04:00:00	1.27803	1.28095	1.27781	1.27860	15200	0	0
2022.02.28	08:00:00	1.27860	1.27900	1.27615	1.27688	29078	0	0
2022.02.28	12:00:00	1.27688	1.27700	1.27223	1.27307	24122	0	0
2022.02.28	16:00:00	1.27307	1.27365	1.26598	1.26876	29434	0	0
2022.02.28	20:00:00	1.26877	1.27053	1.26671	1.26738	14895	0	0
2022.03.01	00:00:00	1.26698	1.26768	1.26649	1.26745	4711	0	0
2022.03.01	04:00:00	1.26744	1.26844	1.26681	1.26797	7016	0	0
2022.03.01	08:00:00	1.26797	1.26812	1.26533	1.26692	15431	0	0
2022.03.01	12:00:00	1.26695	1.26938	1.26649	1.26711	20712	0	0
2022.03.01	16:00:00	1.26715	1.27292	1.26546	1.27256	32350	0	0
2022.03.01	20:00:00	1.27257	1.27499	1.27236	1.27418	19179	0	0
2022.03.02	00:00:00	1.27394	1.27436	1.27163	1.27211	7105	0	0
2022.03.02	04:00:00	1.27210	1.27300	1.27142	1.27208	7443	0	0
2022.03.02	08:00:00	1.27209	1.27449	1.27029	1.27086	25102	0	0
2022.03.02	12:00:00	1.27087	1.27192	1.26838	1.26905	21652	0	0
2022.03.02	16:00:00	1.26905	1.27084	1.26488	1.26650	37434	0	0
2022.03.02	20:00:00	1.26647	1.26681	1.26280	1.26295	13803	0	0
2022.03.03	00:00:00	1.26285	1.26550	1.26274	1.26477	4976	0	0
2022.03.03	04:00:00	1.26477	1.26551	1.26246	1.26283	5699	0	0
2022.03.03	08:00:00	1.26283	1.26297	1.25872	1.26249	18841	0	0
2022.03.03	12:00:00	1.26249	1.26444	1.26201	1.26402	17017	0	0
2022.03.03	16:00:00	1.26399	1.26928	1.26266	1.26773	31746	0	0
2022.03.03	20:00:00	1.26772	1.26910	1.26676	1.26798	14797	0	0
2022.03.04	00:00:00	1.26783	1.27217	1.26693	1.26858	19034	0	0
2022.03.04	04:00:00	1.26859	1.27025	1.26807	1.26926	14001	0	0
2022.03.04	08:00:00	1.26926	1.27315	1.26878	1.27308	20123	0	0
2022.03.04	12:00:00	1.27311	1.27906	1.27148	1.27703	24101	0	0
2022.03.04	16:00:00	1.27702	1.27919	1.27255	1.27302	31471	0	0
2022.03.04	20:00:00	1.27303	1.27456	1.27132	1.27345	14745	0	0
2022.03.07	00:00:00	1.27188	1.27560	1.27118	1.27224	17912	0	0
2022.03.07	04:00:00	1.27224	1.27292	1.27009	1.27112	17585	0	0
2022.03.07	08:00:00	1.27111	1.27294	1.26851	1.27115	26018	0	0
2022.03.07	12:00:00	1.27114	1.27413	1.27017	1.27371	34503	0	0
2022.03.07	16:00:00	1.27370	1.27933	1.27289	1.27885	37345	0	0
2022.03.07	20:00:00	1.27885	1.28206	1.27761	1.28194	19163	0	0
2022.03.08	00:00:00	1.28183	1.28191	1.27973	1.28075	9341	0	0
2022.03.08	04:00:00	1.28076	1.28294	1.27955	1.28246	12834	0	0
2022.03.08	08:00:00	1.28245	1.28371	1.28064	1.28287	25890	0	0
2022.03.08	12:00:00	1.28288	1.28437	1.28065	1.28266	21089	0	0
2022.03.08	16:00:00	1.28265	1.29006	1.28200	1.28826	39065	0	0
2022.03.08	20:00:00	1.28827	1.28968	1.28599	1.28881	24513	0	0
2022.03.09	00:00:00	1.28873	1.28939	1.28678	1.28719	9005	0	0
2022.03.09	04:00:00	1.28719	1.28920	1.28670	1.28822	9023	0	0
2022.03.09	08:00:00	1.28821	1.28824	1.28252	1.28261	21079	0	0
2022.03.09	12:00:00	1.28260	1.28446	1.28064	1.28243	21056	0	0
2022.03.09	16:00:00	1.28242	1.28371	1.28035	1.28167	28686	0	0
2022.03.09	20:00:00	1.28167	1.28355	1.28046	1.28072	11781	0	0
2022.03.10	00:00:00	1.28039	1.28417	1.27908	1.28295	8580	0	0
2022.03.10	04:00:00	1.28295	1.28318	1.28070	1.28166	6899	0	0
2022.03.10	08:00:00	1.28164	1.28320	1.27938	1.28166	20770	0	0
2022.03.10	12:00:00	1.28164	1.28328	1.27799	1.27856	23638	0	0
2022.03.10	16:00:00	1.27855	1.28061	1.27581	1.27743	23990	0	0
2022.03.10	20:00:00	1.27743	1.27767	1.27506	1.27666	10073	0	0
2022.03.11	00:00:00	1.27638	1.27851	1.27528	1.27846	6121	0	0
2022.03.11	04:00:00	1.27845	1.27941	1.27771	1.27877	6725	0	0
2022.03.11	08:00:00	1.27878	1.27894	1.27589	1.27713	16148	0	0
2022.03.11	12:00:00	1.27714	1.27778	1.27150	1.27172	23365	0	0
2022.03.11	16:00:00	1.27172	1.27314	1.26941	1.27314	23277	0	0
2022.03.11	20:00:00	1.27317	1.27496	1.27071	1.27479	9235	0	0
2022.03.14	00:00:00	1.27288	1.27505	1.27288	1.27453	11503	0	0
2022.03.14	04:00:00	1.27454	1.27891	1.27450	1.27790	8076	0	0
2022.03.14	08:00:00	1.27793	1.27879	1.27453	1.27537	17709	0	0
2022.03.14	12:00:00	1.27535	1.27788	1.27443	1.27633	16623	0	0
2022.03.14	16:00:00	1.27633	1.28160	1.27379	1.28098	17832	0	0
2022.03.14	20:00:00	1.28098	1.28265	1.28085	1.28197	6985	0	0
2022.03.15	00:00:00	1.28182	1.28531	1.28139	1.28490	8353	0	0
2022.03.15	04:00:00	1.28492	1.28502	1.28176	1.28249	10010	0	0
2022.03.15	08:00:00	1.28249	1.28712	1.28242	1.28586	19276	0	0
2022.03.15	12:00:00	1.28586	1.28674	1.28189	1.28200	17624	0	0
2022.03.15	16:00:00	1.28201	1.28301	1.27777	1.27858	20849	0	0
2022.03.15	20:00:00	1.27858	1.27944	1.27568	1.27677	6596	0	0
2022.03.16	00:00:00	1.27659	1.27755	1.27579	1.27595	7315	0	0
2022.03.16	04:00:00	1.27594	1.27696	1.27371	1.27405	6846	0	0
2022.03.16	08:00:00	1.27405	1.27543	1.27186	1.27221	13528	0	0
2022.03.16	12:00:00	1.27222	1.27247	1.26874	1.26965	14595	0	0
2022.03.16	16:00:00	1.26967	1.27464	1.26918	1.27220	21237	0	0
2022.03.16	20:00:00	1.27331	1.27776	1.26744	1.26792	28136	0	0
2022.03.17	00:00:00	1.26770	1.26985	1.26686	1.26922	10225	0	0
2022.03.17	04:00:00	1.26922	1.26932	1.26724	1.26813	9281	0	0
2022.03.17	08:00:00	1.26813	1.26882	1.26519	1.26534	12689	0	0
2022.03.17	12:00:00	1.26535	1.26790	1.26529	1.26617	17083	0	0
2022.03.17	16:00:00	1.26617	1.26740	1.26298	1.26370	13232	0	0
2022.03.17	20:00:00	1.26368	1.26498	1.26125	1.26234	6073	0	0
2022.03.18	00:00:00	1.26215	1.26352	1.26137	1.26211	7816	0	0
2022.03.18	04:00:00	1.26211	1.26295	1.26043	1.26053	5594	0	0
2022.03.18	08:00:00	1.26053	1.26220	1.25950	1.26204	13588	0	0
2022.03.18	12:00:00	1.26203	1.26393	1.25987	1.26232	12702	0	0
2022.03.18	16:00:00	1.26229	1.26463	1.26006	1.26093	14589	0	0
2022.03.18	20:00:00	1.26093	1.26165	1.25888	1.26039	4673	0	0
2022.03.21	00:00:00	1.26091	1.26091	1.25911	1.25928	2696	0	1
2022.03.21	04:00:00	1.25931	1.26135	1.25931	1.26095	2365	0	0
2022.03.21	08:00:00	1.26093	1.26150	1.25894	1.26086	6937	0	0
2022.03.21	12:00:00	1.26086	1.26221	1.25832	1.25950	10000	0	0
2022.03.21	16:00:00	1.25946	1.26121	1.25654	1.25975	20093	0	0
2022.03.21	20:00:00	1.25975	1.26049	1.25740	1.25921	9062	0	0
2022.03.22	00:00:00	1.25906	1.26035	1.25870	1.25997	6956	0	0
2022.03.22	04:00:00	1.25997	1.26070	1.25703	1.26024	7492	0	0
2022.03.22	08:00:00	1.26025	1.26242	1.25892	1.26133	12825	0	0
2022.03.22	12:00:00	1.26132	1.26133	1.25736	1.25788	15191	0	0
