<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2023.03.29	03:00:00	1.23297	1.23415	1.23297	1.23357	2560	0	7
2023.03.29	03:30:00	1.23358	1.23376	1.23315	1.23363	2698	0	7
2023.03.29	04:00:00	1.23364	1.23408	1.23321	1.23332	2941	0	7
2023.03.29	04:30:00	1.23333	1.23342	1.23268	1.23311	2902	0	7
2023.03.29	05:00:00	1.23310	1.23348	1.23277	1.23295	2567	0	7
2023.03.29	05:30:00	1.23295	1.23305	1.23231	1.23253	2176	0	7
2023.03.29	06:00:00	1.23253	1.23281	1.23206	1.23233	2075	0	7
2023.03.29	06:30:00	1.23234	1.23268	1.23226	1.23247	2119	0	7
2023.03.29	07:00:00	1.23246	1.23340	1.23218	1.23320	2266	0	4
2023.03.29	07:30:00	1.23320	1.23344	1.23284	1.23292	2922	0	4
2023.03.29	08:00:00	1.23290	1.23317	1.23219	1.23219	2460	0	4
2023.03.29	08:30:00	1.23220	1.23245	1.23140	1.23142	3132	0	4
2023.03.29	09:00:00	1.23142	1.23218	1.23126	1.23136	4294	0	4
2023.03.29	09:30:00	1.23136	1.23289	1.23090	1.23245	4080	0	2
2023.03.29	10:00:00	1.23244	1.23291	1.23118	1.23269	4456	0	4
2023.03.29	10:30:00	1.23269	1.23308	1.23187	1.23209	3420	0	4
2023.03.29	11:00:00	1.23211	1.23218	1.23046	1.23083	3225	0	4
2023.03.29	11:30:00	1.23082	1.23270	1.23046	1.23253	3888	0	3
2023.03.29	12:00:00	1.23254	1.23373	1.23236	1.23316	3252	0	3
2023.03.29	12:30:00	1.23317	1.23580	1.23317	1.23548	4399	0	3
2023.03.29	13:00:00	1.23548	1.23564	1.23435	1.23438	3581	0	4
2023.03.29	13:30:00	1.23438	1.23461	1.23378	1.23454	2811	0	4
2023.03.29	14:00:00	1.23454	1.23545	1.23452	1.23528	2695	0	3
2023.03.29	14:30:00	1.23528	1.23616	1.23388	1.23389	3297	0	0
2023.03.29	15:00:00	1.23390	1.23452	1.23181	1.23256	3862	0	4
2023.03.29	15:30:00	1.23256	1.23348	1.23176	1.23315	4336	0	4
2023.03.29	16:00:00	1.23316	1.23372	1.23025	1.23142	3768	0	4
2023.03.29	16:30:00	1.23141	1.23318	1.23048	1.23261	4517	0	0
2023.03.29	17:00:00	1.23261	1.23404	1.23211	1.23230	4849	0	4
2023.03.29	17:30:00	1.23231	1.23253	1.23088	1.23112	5016	0	3
2023.03.29	18:00:00	1.23112	1.23263	1.23094	1.23196	4470	0	3
2023.03.29	18:30:00	1.23196	1.23296	1.23094	1.23107	3171	0	4
2023.03.29	19:00:00	1.23107	1.23230	1.23107	1.23132	2987	0	4
2023.03.29	19:30:00	1.23131	1.23146	1.23059	1.23087	2284	0	4
2023.03.29	20:00:00	1.23090	1.23141	1.23069	1.23119	1738	0	4
2023.03.29	20:30:00	1.23118	1.23228	1.23113	1.23203	2221	0	4
2023.03.29	21:00:00	1.23203	1.23223	1.23047	1.23075	2069	0	5
2023.03.29	21:30:00	1.23079	1.23154	1.23065	1.23153	1585	0	4
2023.03.29	22:00:00	1.23153	1.23187	1.23100	1.23151	1871	0	5
2023.03.29	22:30:00	1.23151	1.23170	1.23113	1.23127	1530	0	5
2023.03.29	23:00:00	1.23127	1.23167	1.23104	1.23162	391	0	5
2023.03.29	23:30:00	1.23163	1.23178	1.23157	1.23166	298	0	6
2023.03.30	00:00:00	1.23136	1.23178	1.23029	1.23137	126	0	19
2023.03.30	00:30:00	1.23125	1.23154	1.23121	1.23149	174	0	8
2023.03.30	01:00:00	1.23150	1.23174	1.23138	1.23162	678	0	8
2023.03.30	01:30:00	1.23162	1.23165	1.23105	1.23145	1158	0	8
2023.03.30	02:00:00	1.23144	1.23151	1.23094	1.23119	763	0	7
2023.03.30	02:30:00	1.23119	1.23133	1.23100	1.23100	364	0	7
2023.03.30	03:00:00	1.23100	1.23116	1.23029	1.23066	2370	0	7
2023.03.30	03:30:00	1.23065	1.23072	1.23012	1.23044	957	0	7
2023.03.30	04:00:00	1.23045	1.23045	1.22935	1.22995	2014	0	7
2023.03.30	04:30:00	1.22994	1.23044	1.22949	1.23013	2591	0	7
2023.03.30	05:00:00	1.23013	1.23044	1.22973	1.23041	2047	0	7
2023.03.30	05:30:00	1.23041	1.23074	1.22981	1.23005	2307	0	7
2023.03.30	06:00:00	1.23006	1.23069	1.22973	1.23052	2784	0	6
2023.03.30	06:30:00	1.23052	1.23065	1.23024	1.23036	1894	0	7
2023.03.30	07:00:00	1.23037	1.23080	1.23032	1.23066	1495	0	4
2023.03.30	07:30:00	1.23065	1.23116	1.23064	1.23116	2446	0	0
2023.03.30	08:00:00	1.23116	1.23178	1.23085	1.23145	3380	0	4
2023.03.30	08:30:00	1.23153	1.23250	1.23140	1.23222	3877	0	4
2023.03.30	09:00:00	1.23221	1.23288	1.23138	1.23197	3665	0	4
2023.03.30	09:30:00	1.23200	1.23390	1.23174	1.23374	2824	0	3
2023.03.30	10:00:00	1.23375	1.23469	1.23264	1.23406	5266	0	4
2023.03.30	10:30:00	1.23406	1.23529	1.23363	1.23507	2854	0	4
2023.03.30	11:00:00	1.23507	1.23570	1.23412	1.23529	2503	0	0
2023.03.30	11:30:00	1.23529	1.23632	1.23508	1.23550	3616	0	0
2023.03.30	12:00:00	1.23550	1.23640	1.23468	1.23477	2230	0	4
2023.03.30	12:30:00	1.23479	1.23511	1.23430	1.23441	2291	0	2
2023.03.30	13:00:00	1.23441	1.23493	1.23406	1.23416	2728	0	4
2023.03.30	13:30:00	1.23414	1.23539	1.23378	1.23388	2931	0	4
2023.03.30	14:00:00	1.23389	1.23425	1.23287	1.23318	2155	0	4
2023.03.30	14:30:00	1.23312	1.23408	1.23287	1.23383	2432	0	4
2023.03.30	15:00:00	1.23384	1.23658	1.23382	1.23575	3520	0	1
2023.03.30	15:30:00	1.23573	1.23803	1.23519	1.23780	4489	0	1
2023.03.30	16:00:00	1.23781	1.23835	1.23574	1.23773	4446	0	3
2023.03.30	16:30:00	1.23773	1.23844	1.23724	1.23779	3719	0	3
2023.03.30	17:00:00	1.23779	1.23813	1.23660	1.23767	3509	0	0
2023.03.30	17:30:00	1.23767	1.23846	1.23712	1.23806	2866	0	1
2023.03.30	18:00:00	1.23807	1.23807	1.23693	1.23718	2591	0	4
2023.03.30	18:30:00	1.23718	1.23735	1.23658	1.23673	2545	0	3
2023.03.30	19:00:00	1.23673	1.23761	1.23651	1.23749	2190	0	4
2023.03.30	19:30:00	1.23750	1.23863	1.23748	1.23860	2380	0	4
2023.03.30	20:00:00	1.23863	1.23863	1.23760	1.23795	1692	0	4
2023.03.30	20:30:00	1.23794	1.23836	1.23764	1.23824	1822	0	5
2023.03.30	21:00:00	1.23824	1.23867	1.23782	1.23853	1665	0	0
2023.03.30	21:30:00	1.23853	1.23929	1.23833	1.23925	854	0	0
2023.03.30	22:00:00	1.23925	1.23926	1.23834	1.23852	1053	0	3
2023.03.30	22:30:00	1.23851	1.23899	1.23847	1.23895	950	0	1
2023.03.30	23:00:00	1.23895	1.23913	1.23863	1.23881	633	0	5
2023.03.30	23:30:00	1.23881	1.23899	1.23858	1.23872	255	0	8
2023.03.31	00:00:00	1.23866	1.23883	1.23761	1.23866	86	0	19
2023.03.31	00:30:00	1.23859	1.23884	1.23847	1.23878	148	0	8
2023.03.31	01:00:00	1.23878	1.23891	1.23839	1.23858	514	0	8
2023.03.31	01:30:00	1.23858	1.23883	1.23844	1.23853	1466	0	8
2023.03.31	02:00:00	1.23852	1.23876	1.23840	1.23869	1072	0	7
2023.03.31	02:30:00	1.23866	1.23885	1.23847	1.23861	487	0	7
2023.03.31	03:00:00	1.23861	1.23925	1.23832	1.23920	2633	0	7
2023.03.31	03:30:00	1.23921	1.23992	1.23894	1.23989	2751	0	7
2023.03.31	04:00:00	1.23988	1.24188	1.23987	1.24163	2464	0	6
2023.03.31	04:30:00	1.24158	1.24227	1.24014	1.24014	3370	0	3
2023.03.31	05:00:00	1.24014	1.24041	1.23975	1.24023	2431	0	7
2023.03.31	05:30:00	1.24022	1.24064	1.24013	1.24013	2142	0	7
2023.03.31	06:00:00	1.24013	1.24019	1.23947	1.23962	1773	0	7
2023.03.31	06:30:00	1.23962	1.23993	1.23892	1.23974	1586	0	7
2023.03.31	07:00:00	1.23975	1.24031	1.23974	1.23999	1515	0	4
2023.03.31	07:30:00	1.23997	1.24016	1.23935	1.23952	1414	0	0
2023.03.31	08:00:00	1.23951	1.23964	1.23834	1.23842	2083	0	4
2023.03.31	08:30:00	1.23843	1.23895	1.23796	1.23822	2282	0	4
2023.03.31	09:00:00	1.23822	1.23900	1.23755	1.23805	3324	0	1
2023.03.31	09:30:00	1.23804	1.23985	1.23804	1.23969	2951	0	4
2023.03.31	10:00:00	1.23969	1.23997	1.23724	1.23786	4345	0	3
2023.03.31	10:30:00	1.23786	1.23791	1.23605	1.23671	3745	0	4
2023.03.31	11:00:00	1.23672	1.23761	1.23570	1.23601	3865	0	0
2023.03.31	11:30:00	1.23600	1.23670	1.23535	1.23661	3419	0	0
2023.03.31	12:00:00	1.23660	1.23744	1.23600	1.23705	3680	0	2
2023.03.31	12:30:00	1.23706	1.23802	1.23665	1.23675	2496	0	3
2023.03.31	13:00:00	1.23675	1.23808	1.23656	1.23803	2118	0	4
2023.03.31	13:30:00	1.23804	1.23840	1.23712	1.23746	2804	0	4
2023.03.31	14:00:00	1.23749	1.23866	1.23709	1.23861	1980	0	3
2023.03.31	14:30:00	1.23861	1.23910	1.23715	1.23738	2377	0	4
2023.03.31	15:00:00	1.23738	1.23766	1.23658	1.23702	2282	0	1
2023.03.31	15:30:00	1.23710	1.23961	1.23676	1.23909	5841	0	1
2023.03.31	16:00:00	1.23910	1.23917	1.23732	1.23765	3100	0	4
2023.03.31	16:30:00	1.23765	1.23964	1.23751	1.23868	3701	0	2
2023.03.31	17:00:00	1.23867	1.23973	1.23732	1.23744	3394	0	1
2023.03.31	17:30:00	1.23744	1.23829	1.23445	1.23625	4797	0	4
2023.03.31	18:00:00	1.23626	1.23745	1.23621	1.23712	4377	0	3
2023.03.31	18:30:00	1.23712	1.23814	1.23659	1.23676	2680	0	3
2023.03.31	19:00:00	1.23676	1.23679	1.23521	1.23543	2282	0	4
2023.03.31	19:30:00	1.23543	1.23549	1.23411	1.23479	1360	0	3
2023.03.31	20:00:00	1.23479	1.23482	1.23357	1.23360	1890	0	5
2023.03.31	20:30:00	1.23360	1.23371	1.23243	1.23333	1556	0	4
2023.03.31	21:00:00	1.23333	1.23360	1.23283	1.23344	1994	0	5
2023.03.31	21:30:00	1.23344	1.23437	1.23329	1.23356	1948	0	5
2023.03.31	22:00:00	1.23354	1.23384	1.23285	1.23320	1168	0	5
2023.03.31	22:30:00	1.23320	1.23382	1.23299	1.23367	1267	0	5
2023.03.31	23:00:00	1.23368	1.23368	1.23277	1.23278	861	0	5
