<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2023.05.04	00:00:00	0.88020	0.88145	0.87928	0.88067	9553	0	0
2023.05.04	04:00:00	0.88067	0.88089	0.88031	0.88073	10450	0	1
2023.05.04	08:00:00	0.88073	0.88135	0.87876	0.87914	18959	0	1
2023.05.04	12:00:00	0.87915	0.88074	0.87656	0.87715	23809	0	1
2023.05.04	16:00:00	0.87715	0.87913	0.87455	0.87533	32847	0	0
2023.05.04	20:00:00	0.87534	0.87622	0.87533	0.87609	10223	0	0
2023.05.05	00:00:00	0.87571	0.87634	0.87496	0.87613	5501	0	0
2023.05.05	04:00:00	0.87613	0.87678	0.87536	0.87591	7950	0	1
2023.05.05	08:00:00	0.87591	0.87620	0.87411	0.87476	15107	0	1
2023.05.05	12:00:00	0.87476	0.87530	0.87304	0.87328	18244	0	1
2023.05.05	16:00:00	0.87328	0.87346	0.87129	0.87234	22020	0	0
2023.05.05	20:00:00	0.87234	0.87262	0.87158	0.87237	8506	0	0
2023.05.08	00:00:00	0.87154	0.87263	0.87102	0.87253	6241	0	0
2023.05.08	04:00:00	0.87253	0.87299	0.87245	0.87286	10131	0	1
2023.05.08	08:00:00	0.87287	0.87465	0.87257	0.87326	13335	0	0
2023.05.08	12:00:00	0.87326	0.87343	0.87208	0.87272	13490	0	0
2023.05.08	16:00:00	0.87272	0.87297	0.87187	0.87244	16188	0	1
2023.05.08	20:00:00	0.87244	0.87247	0.87196	0.87204	7892	0	0
2023.05.09	00:00:00	0.87190	0.87225	0.87108	0.87156	6915	0	0
2023.05.09	04:00:00	0.87156	0.87162	0.87119	0.87122	7930	0	1
2023.05.09	08:00:00	0.87122	0.87161	0.86958	0.87072	17094	0	0
2023.05.09	12:00:00	0.87072	0.87078	0.86985	0.87001	16516	0	0
2023.05.09	16:00:00	0.87000	0.87012	0.86794	0.86867	19833	0	0
2023.05.09	20:00:00	0.86868	0.86912	0.86821	0.86839	9766	0	0
2023.05.10	00:00:00	0.86835	0.86882	0.86703	0.86863	6125	0	0
2023.05.10	04:00:00	0.86862	0.86937	0.86846	0.86929	7094	0	1
2023.05.10	08:00:00	0.86929	0.86939	0.86725	0.86766	15768	0	0
2023.05.10	12:00:00	0.86766	0.86881	0.86710	0.86800	17363	0	1
2023.05.10	16:00:00	0.86801	0.87011	0.86793	0.86925	23366	0	0
2023.05.10	20:00:00	0.86925	0.86998	0.86919	0.86993	8327	0	0
2023.05.11	00:00:00	0.86973	0.87012	0.86926	0.86987	5595	0	0
2023.05.11	04:00:00	0.86988	0.87026	0.86945	0.86982	9069	0	0
2023.05.11	08:00:00	0.86983	0.87006	0.86784	0.86849	17599	0	0
2023.05.11	12:00:00	0.86847	0.86913	0.86612	0.86866	22534	0	0
2023.05.11	16:00:00	0.86866	0.87348	0.86864	0.87312	23481	0	1
2023.05.11	20:00:00	0.87312	0.87316	0.87228	0.87240	7953	0	0
2023.05.12	00:00:00	0.87225	0.87266	0.87113	0.87246	4790	0	0
2023.05.12	04:00:00	0.87246	0.87298	0.87217	0.87234	9859	0	1
